accuracy,precision,recall,f1_score,model,training_time,prediction_time,best_validation_score,best_params
0.7595652173913043,0.7603475335905838,0.7595652173913043,0.7598458056292604,MLP,10.820534400176257,0.002215599874034524,0.717195153462721,"{""hidden_layer_sizes"": [256, 128], ""alpha"": 6.516990611177177e-05, ""learning_rate_init"": 0.004544383960336014}"
0.7239130434782609,0.725442243049707,0.7239130434782608,0.7229494919182067,XGBoost,16.98823260003701,0.011521599953994155,0.7004101252957629,"{""n_estimators"": 350, ""max_depth"": 8, ""learning_rate"": 0.06152156660471653, ""subsample"": 0.7235078841914325, ""colsample_bytree"": 0.758100141830022, ""reg_lambda"": 0.023621878410069266}"
0.7130434782608696,0.7176621576391062,0.7130434782608697,0.7116238659880343,Deep Neural Network,7.591513799969107,0.12381809996441007,0.716879803863803,"{""units1"": 128, ""units2"": 224, ""dropout"": 0.38274293753904687, ""learning_rate"": 0.001732053535845956, ""batch_size"": 32, ""epochs"": 29}"
0.7126086956521739,0.7126012110539868,0.7126086956521739,0.7088776409417897,Random Forest,2.2796999998390675,0.0618930000346154,0.6763664616096579,"{""n_estimators"": 275, ""max_depth"": 34, ""min_samples_split"": 3, ""min_samples_leaf"": 3}"
0.7069565217391305,0.7035360392525865,0.7069565217391304,0.7041259087233877,SVM,25.560285799903795,2.0941611998714507,0.678023003851059,"{""C"": 28.876793627167675, ""gamma"": 0.029998620018953148}"
